datetime_utc, _conds, _dewptm, _fog, _hail, _heatindexm, _hum, _precipm, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wdird, _wdire, _wgustm, _windchillm, _wspdm
20160829-05:00,Haze,27,0,0,42.3,75,,1005,0,0,32,0,0,3,0,North,,,0
20160829-05:30,Haze,27,0,0,42.3,75,,1005,0,0,32,0,0,3,0,North,,,0
20160829-06:00,Haze,27,0,0,,63,,1003,0,0,33,0,0,2,140,SE,,,7.4
20160829-06:30,Haze,27,0,0,45.3,67,,1005,0,0,34,0,0,3,190,South,,,11.1
20160829-07:00,Haze,26,0,0,43.5,63,,1004,0,0,34,0,0,3,180,South,,,9.3
20160829-07:30,Thunderstorms and Rain,26,0,0,37.4,79,,1004,1,0,30,1,0,2,300,WNW,,,14.8
20160829-08:00,Thunderstorms and Rain,27,0,0,36.8,89,,1004,1,0,29,1,0,1,350,North,,,3.7
20160829-08:30,Mostly Cloudy,28,0,0,40.4,89,,1002,0,0,30,0,0,1.8,350,North,,,7.4
20160829-09:00,Light Thunderstorm,28,0,0,,75,,1001,0,0,31,1,0,2,340,NNW,,,5.6
20160829-09:30,Mostly Cloudy,27,0,0,42.3,75,,1002,0,0,32,0,0,2,340,NNW,,,9.3
20160829-10:00,Mostly Cloudy,27,0,0,42.3,75,,1002,0,0,32,0,0,2,10,North,,,7.4
20160829-10:30,Overcast,27,0,0,38.8,84,,1002,0,0,30,0,0,1.5,10,North,,,3.7
20160829-11:00,Thunderstorm,27,0,0,38.8,84,,1002,0,0,30,1,0,1.5,10,North,,,5.6
20160829-11:30,Thunderstorms and Rain,27,0,0,34.5,94,,1003,1,0,28,1,0,0.8,40,NE,,,7.4
20160829-12:00,Thunderstorms and Rain,27,0,0,,96,,1002,1,0,27,1,0,1,50,NE,,,5.6
20160829-12:30,Thunderstorms and Rain,27,0,0,31.8,100,,1004,1,0,27,1,0,1,50,NE,,,13
20160829-13:00,Thunderstorms and Rain,27,0,0,31.8,100,,1003,1,0,27,1,0,0.8,70,ENE,,,14.8
20160829-15:00,Thunderstorms and Rain,25,0,0,,95,,1004,1,0,26,1,0,1,,,,,0
20160829-18:00,Mist,25,0,0,,95,,1003,0,0,26,0,0,2,,,,,0
20160829-21:00,Mist,25,0,0,,96,,1003,0,0,26,0,0,2,,,,,0
20160830-00:00,Mist,25,0,0,,92,,1002,0,0,26,0,0,2,,,,,0
20160830-02:00,Mostly Cloudy,25,0,0,30.6,89,,1003,0,0,27,0,0,2,0,North,,,0
20160830-02:30,Mostly Cloudy,25,0,0,30.6,89,,1003,0,0,27,0,0,2,0,North,,,0
20160830-03:00,Mist,25,0,0,,82,,1002,0,0,28,0,0,2,140,SE,,,14.8
20160830-03:30,Overcast,25,0,0,32.7,84,,1004,0,0,28,0,0,2,200,SSW,,,3.7
20160830-04:00,Overcast,25,0,0,34.5,79,,1004,0,0,29,0,0,2,140,SE,,,3.7
20160830-04:30,Overcast,26,0,0,35.6,84,,1004,0,0,29,0,0,2,0,North,,,0
20160830-05:00,Overcast,26,0,0,35.6,84,,1004,0,0,29,0,0,2,0,North,,,0
20160830-06:00,Mist,26,0,0,,77,,1003,0,0,29,0,0,2,,,,,0
20160830-06:30,Overcast,26,0,0,37.4,79,,1004,0,0,30,0,0,3,320,NW,,,3.7
20160830-07:00,Overcast,26,0,0,37.4,79,,1004,0,0,30,0,0,3,350,North,,,5.6
20160830-07:30,Overcast,25,0,0,37.6,70,,1003,0,0,31,0,0,3.5,350,North,,,7.4
20160830-08:00,Haze,26,0,0,40.4,70,,1002,0,0,32,0,0,,270,West,,,7.4
20160830-08:30,Haze,26,0,0,41.8,66,,1002,0,0,33,0,0,4,20,NNE,,,3.7
20160830-08:34,Haze,26,0,0,41.8,66,,1002,0,0,33,0,0,4,20,NNE,,,3.7
20160830-09:00,Haze,26,0,0,,59,,1000,0,0,33,0,0,2,270,West,,,3.7
20160830-09:30,Haze,26,0,0,41.8,66,,1001,0,0,33,0,0,3,270,West,,,3.7
20160830-10:00,Haze,26,0,0,41.8,66,,1001,0,0,33,0,0,3,270,West,,,3.7
20160830-10:30,Haze,26,0,0,40.4,70,,1001,0,0,32,0,0,2,0,North,,,0
20160830-11:30,Drizzle,26,0,0,39.2,75,,1001,0,0,31,0,0,1.8,0,North,,,0
20160830-12:00,Light Drizzle,27,0,0,,74,,999,1,0,31,0,0,1,,,,,0
20160830-12:30,Light Drizzle,26,0,0,39.2,75,,1002,0,0,31,0,0,2,70,ENE,,,7.4
20160830-13:00,Light Drizzle,26,0,0,39.2,75,,1002,0,0,31,0,0,,90,East,,,7.4
